Customer_names,Brand,Model,Engine_size,Fuel_type,Year_of_manufacture,Mileage,Price,purchase_place
Ravi Reddy,Kia,Innova,1,Petrol,2008,42621,9591,Rajajinagar
Rohit Mishra,Kia,Nexon,1.4,Diesel,2010,64359,15563,Jayanagar
Rohit Nair,Honda,City,2,Petrol,2002,180048,4086,Koramangala
Deepak Choudhary,Mahindra,Thar,1.6,Hybrid,2005,142689,7247,Hebbal
Pooja Bhatia,Toyota,Creta,1.6,Diesel,2018,22122,36634,Yelahanka
Kavya Reddy,Kia,Nexon,4.4,Petrol,1987,226046,2956,Yelahanka
Divya Nair,Mahindra,Baleno,1.4,Petrol,1987,236315,763,Rajajinagar
Pooja Rao,Tata,Harrier,4.4,Petrol,2008,109941,31711,Malleswaram
Suresh Gupta,Honda,Harrier,1,Petrol,2009,61615,7859,Hebbal
Deepak Gupta,Tata,Harrier,1.8,Diesel,1989,297635,585,HSR Layout
Suresh Gupta,Hyundai,Seltos,1.8,Hybrid,1995,112413,5238,Rajajinagar
Kiran Verma,Kia,Seltos,1.2,Petrol,2008,96911,6318,Jayanagar
Divya Deshmukh,Toyota,Creta,1.6,Diesel,1990,223561,1229,Rajajinagar
Shalini Joshi,Tata,i20,1.4,Diesel,2020,21413,39310,Rajajinagar
Vivek Iyer,Hyundai,Harrier,2.2,Petrol,2018,32319,40706,Whitefield
Sneha Gupta,Hyundai,Harrier,2.4,Petrol,2021,6829,66031,Rajajinagar
Kiran Singh,Tata,City,1.6,Petrol,2010,108111,7878,Rajajinagar
Neha Dutta,Kia,Baleno,1.6,Diesel,1998,137896,4132,HSR Layout
Divya Rao,Mahindra,Thar,1.6,Petrol,2013,66163,18269,Indiranagar
Pooja Bhatia,Mahindra,Thar,1.6,Diesel,2010,66410,16414,Koramangala
Manoj Krishnan,Hyundai,City,2.2,Petrol,2014,61332,26084,Rajajinagar
Sneha Choudhary,Hyundai,Innova,2.4,Petrol,2016,34379,40646,HSR Layout
Kiran Pillai,Maruti,Swift,3.5,Petrol,2003,107705,24378,Koramangala
Priya Sharma,Honda,Creta,1.8,Diesel,2014,28530,23034,Basavanagudi
Meera Joshi,Kia,Baleno,1.6,Diesel,2015,57933,24207,Whitefield
Divya Mehta,Maruti,Baleno,2.4,Petrol,1997,146910,4671,Indiranagar
Arjun Rao,Maruti,Thar,1.4,Hybrid,2001,152067,5040,Rajajinagar
Ravi Bhatia,Kia,Harrier,4,Petrol,2003,123913,19474,Whitefield
Rohit Singh,Hyundai,Nexon,1.8,Hybrid,2005,119097,11398,Koramangala
Kiran Menon,Honda,Thar,1.2,Diesel,2008,97150,8066,Malleswaram
Sanjay Krishnan,Tata,Innova,2,Petrol,2010,86405,14567,Rajajinagar
Neha Mishra,Honda,Swift,1.2,Hybrid,2001,85798,5959,Koramangala
Sanjay Sharma,Mahindra,Thar,2,Diesel,2015,50628,22743,Indiranagar
Manoj Bhatia,Maruti,Nexon,3,Petrol,2014,80934,26708,Koramangala
Ravi Nair,Tata,i20,1,Petrol,1998,97043,3036,Jayanagar
Suresh Iyer,Toyota,City,1,Petrol,2001,58770,5438,Whitefield
Kavya Choudhary,Mahindra,Nexon,1.8,Petrol,2008,84855,12800,Rajajinagar
Pooja Nair,Honda,i20,1.6,Diesel,2014,50898,23677,Koramangala
Sanjay Iyer,Tata,Nexon,1.6,Diesel,1998,152532,3704,Rajajinagar
Neha Nair,Toyota,Baleno,1.8,Hybrid,2001,212899,3981,Malleswaram
Ajay Mehta,Mahindra,Creta,1.6,Petrol,2001,140596,3988,Hebbal
Manoj Reddy,Maruti,Baleno,2.4,Petrol,1988,256489,1183,Hebbal
Arjun Rao,Maruti,Nexon,3,Petrol,2018,20441,53379,Basavanagudi
Priya Nair,Toyota,Harrier,1.2,Petrol,1986,147185,1145,Koramangala
Kavya Gupta,Kia,Innova,4.4,Petrol,1997,172030,9255,Rajajinagar
Divya Pillai,Hyundai,Creta,1.8,Petrol,2005,149956,6094,Whitefield
Kiran Joshi,Tata,i20,1.6,Diesel,2009,134426,9345,Indiranagar
Neha Iyer,Kia,Baleno,1.8,Hybrid,2010,91688,19491,Indiranagar
Rohit Mehta,Kia,Innova,1.8,Hybrid,2005,41969,16500,Basavanagudi
Rohit Pillai,Kia,Innova,2,Petrol,2013,38210,25482,Koramangala
Aishwarya Mishra,Mahindra,Nexon,1,Hybrid,2012,46972,19023,Hebbal
Pooja Nair,Mahindra,Swift,2,Diesel,2018,27389,44018,Hebbal
Pooja Sharma,Honda,Thar,2,Petrol,1995,128234,2778,Rajajinagar
Meera Bhatia,Kia,Baleno,1.4,Diesel,2008,112309,9705,Hebbal
Divya Rao,Hyundai,Creta,1.4,Petrol,1984,225099,489,Rajajinagar
Kiran Reddy,Honda,Swift,2.6,Diesel,2003,105361,15069,Jayanagar
Meera Sharma,Kia,Thar,1.4,Petrol,2005,97979,8039,Indiranagar
Rohit Krishnan,Honda,Creta,1.6,Petrol,2016,40104,26053,Yelahanka
Deepak Reddy,Toyota,City,2,Petrol,1993,158259,2822,Rajajinagar
Kavya Choudhary,Mahindra,Innova,4,Petrol,2018,20634,70913,Hebbal
Pooja Mishra,Toyota,Nexon,2,Petrol,2010,98644,14728,Basavanagudi
Shalini Nair,Maruti,Innova,2,Petrol,1991,176358,2025,Basavanagudi
Arjun Pillai,Honda,Seltos,1.8,Diesel,1998,69223,7267,Malleswaram
Meera Deshmukh,Tata,Swift,3,Petrol,2008,20860,27342,Rajajinagar
Suresh Kumar,Hyundai,Baleno,2,Petrol,2009,59936,19881,Hebbal
Sneha Rao,Kia,Nexon,1.4,Petrol,2012,58214,11916,Hebbal
Rohit Nair,Maruti,i20,1.4,Petrol,2020,33832,22982,Yelahanka
Arjun Iyer,Mahindra,City,1.2,Diesel,2009,104436,8174,Yelahanka
Manoj Choudhary,Kia,Baleno,2,Petrol,1992,249377,1246,Koramangala
Divya Rao,Toyota,Creta,2.6,Petrol,2003,143603,10667,Jayanagar
Shalini Joshi,Tata,Thar,1.8,Diesel,2007,115932,9481,Basavanagudi
Vivek Krishnan,Hyundai,Nexon,1.4,Petrol,2016,61363,14854,HSR Layout
Kiran Nair,Hyundai,City,2,Petrol,2016,17810,23636,Malleswaram
Kiran Dutta,Mahindra,Creta,1.8,Hybrid,2021,8120,68163,Basavanagudi
Manoj Joshi,Tata,City,2,Petrol,1990,142888,1771,Yelahanka
Neha Dutta,Mahindra,Innova,1,Petrol,2009,68094,8721,Malleswaram
Aishwarya Mishra,Kia,Creta,2,Diesel,2016,51724,28482,Yelahanka
Rohit Reddy,Toyota,i20,1,Petrol,1998,224106,1062,Jayanagar
Shalini Iyer,Hyundai,Baleno,1,Petrol,2009,83796,6768,Yelahanka
Ananya Rao,Tata,Swift,2.2,Hybrid,2012,91325,24685,HSR Layout
Vivek Kumar,Honda,City,2,Diesel,1997,173089,3416,Yelahanka
Sanjay Choudhary,Hyundai,Thar,2,Diesel,2013,75451,20153,Whitefield
Ananya Bhatia,Tata,City,1,Hybrid,2006,103766,8671,Rajajinagar
Suresh Choudhary,Honda,Nexon,1.6,Diesel,2014,82221,18224,Hebbal
Sanjay Nair,Maruti,Nexon,1.6,Diesel,1985,19000,4129,Rajajinagar
Priya Nair,Tata,Thar,2.4,Hybrid,2012,94338,25232,Malleswaram
Vivek Bhatia,Tata,Thar,2.6,Diesel,2019,20147,76182,Malleswaram
Vivek Krishnan,Hyundai,Harrier,1.2,Diesel,2018,37411,19649,Jayanagar
Sneha Singh,Toyota,i20,1.2,Petrol,2004,179016,2914,Indiranagar
Kavya Patel,Toyota,Baleno,2,Petrol,1999,206584,3542,Whitefield
Ajay Mehta,Toyota,Seltos,1,Hybrid,1996,87664,5001,Whitefield
Kavya Verma,Mahindra,Innova,1.8,Diesel,2016,29439,30886,Hebbal
Aishwarya Mishra,Mahindra,i20,1,Diesel,2006,120770,6429,Yelahanka
Aishwarya Patel,Toyota,Swift,1.6,Diesel,1998,246137,1614,Basavanagudi
Shalini Sharma,Kia,Thar,1.4,Hybrid,2012,72136,19139,Whitefield
Suresh Krishnan,Hyundai,Creta,2,Diesel,2001,147478,5272,Rajajinagar
Kiran Joshi,Tata,Harrier,2.4,Petrol,1997,149908,4558,Indiranagar
Neha Gupta,Hyundai,Harrier,4.4,Petrol,1997,66783,20664,Hebbal
Ananya Singh,Hyundai,Swift,1.4,Diesel,2020,18929,37720,Indiranagar
Kiran Sharma,Toyota,Baleno,1.4,Diesel,2013,53405,16365,HSR Layout
Shalini Mehta,Mahindra,Innova,1.4,Diesel,2001,136439,4049,HSR Layout
Pooja Mishra,Hyundai,Innova,1.2,Petrol,2001,110779,3670,Indiranagar
Kiran Mishra,Honda,Nexon,2,Petrol,1991,188856,1528,Indiranagar
Deepak Nair,Kia,Thar,1,Hybrid,2013,12867,19025,HSR Layout
Divya Krishnan,Honda,Creta,2,Diesel,1994,162098,2930,Koramangala
Deepak Joshi,Hyundai,Creta,1.6,Diesel,2013,79521,17370,Whitefield
Sneha Reddy,Tata,Baleno,1.8,Diesel,2011,97523,14195,Indiranagar
Suresh Rao,Mahindra,Swift,1.6,Petrol,1994,104541,3304,Whitefield
Manoj Sharma,Hyundai,Seltos,1.6,Petrol,2016,57451,19835,Yelahanka
Kiran Deshmukh,Kia,Baleno,1.2,Petrol,2003,104794,4947,Basavanagudi
Rohit Rao,Toyota,Nexon,1,Petrol,2002,227469,1517,Malleswaram
Kavya Menon,Maruti,Nexon,1.8,Diesel,2006,81107,12073,Hebbal
Ravi Nair,Tata,Thar,1.2,Petrol,2008,79566,7142,Rajajinagar
Ananya Krishnan,Toyota,City,1.4,Petrol,2007,85068,8043,Hebbal
Shalini Choudhary,Hyundai,Baleno,2,Hybrid,2000,123838,8299,Basavanagudi
Sneha Mehta,Maruti,Baleno,2.2,Hybrid,2014,66511,33453,Malleswaram
Ravi Rao,Tata,Baleno,1.6,Diesel,1999,207639,2584,HSR Layout
Neha Rao,Toyota,City,3,Diesel,1990,150375,3510,Rajajinagar
Kavya Dutta,Mahindra,Thar,1.4,Diesel,2013,70458,18256,Whitefield
Aishwarya Bhatia,Hyundai,i20,1.8,Hybrid,2016,44550,33820,Jayanagar
Arjun Iyer,Maruti,City,1.6,Petrol,2012,53390,19428,HSR Layout
Ravi Choudhary,Honda,Thar,2.6,Diesel,2015,46563,50028,Rajajinagar
Meera Krishnan,Tata,Nexon,1,Petrol,2002,184586,1916,Malleswaram
Vivek Menon,Kia,City,1.2,Petrol,2004,160915,2933,Malleswaram
Aishwarya Choudhary,Kia,i20,1,Hybrid,2022,5179,36086,Malleswaram
Aishwarya Patel,Hyundai,Creta,1.4,Hybrid,2003,181179,3468,Basavanagudi
Kiran Joshi,Mahindra,Creta,1.4,Petrol,2019,23181,23449,HSR Layout
Aishwarya Reddy,Kia,Nexon,1.4,Hybrid,2016,66611,19942,Whitefield
Rohit Nair,Mahindra,Swift,1.8,Hybrid,1999,105901,5810,Jayanagar
Aishwarya Sharma,Kia,i20,1.4,Diesel,2014,24652,24721,Koramangala
Rohit Patel,Toyota,Innova,1,Petrol,1995,255196,737,Malleswaram
Kavya Mishra,Toyota,City,1,Petrol,2014,24579,14089,Rajajinagar
Kavya Choudhary,Tata,City,1.8,Petrol,2021,21354,52908,Basavanagudi
Suresh Choudhary,Toyota,i20,2,Petrol,1991,117615,2741,Indiranagar
Kavya Iyer,Hyundai,Seltos,2,Petrol,1999,135077,4855,Malleswaram
Sneha Deshmukh,Maruti,Creta,2,Hybrid,2006,94325,15441,Malleswaram
Ravi Reddy,Mahindra,Baleno,1.4,Petrol,2010,96320,7831,Jayanagar
Pooja Mehta,Maruti,i20,1.6,Petrol,1990,137231,1967,Rajajinagar
Arjun Iyer,Tata,Harrier,2.2,Hybrid,2015,35448,43415,Indiranagar
Neha Singh,Tata,i20,2,Hybrid,1995,142544,5129,Malleswaram
Vivek Iyer,Honda,Creta,4,Petrol,2012,46755,60859,HSR Layout
Deepak Reddy,Tata,Nexon,1.6,Petrol,2001,97700,4668,Rajajinagar
Neha Nair,Honda,Nexon,5,Petrol,2016,42059,91415,Indiranagar
Deepak Nair,Honda,Seltos,1.6,Petrol,2012,48576,13537,Koramangala
Sanjay Deshmukh,Tata,Innova,1.4,Petrol,2006,76691,7067,Jayanagar
Suresh Pillai,Mahindra,Harrier,1.8,Hybrid,2017,15473,50215,Indiranagar
Manoj Gupta,Hyundai,Harrier,2,Petrol,2000,110549,6273,Rajajinagar
Kiran Singh,Honda,Nexon,1,Petrol,1992,183342,994,HSR Layout
Sanjay Menon,Toyota,i20,1.4,Petrol,2012,94259,13169,Jayanagar
Ajay Iyer,Mahindra,City,1.4,Diesel,2018,42017,28904,Koramangala
Pooja Dutta,Hyundai,Creta,1.2,Petrol,1990,159547,1420,Yelahanka
Ananya Joshi,Maruti,i20,1.4,Petrol,2000,73749,4833,Basavanagudi
Ravi Iyer,Toyota,Thar,1,Hybrid,2009,63292,10802,Koramangala
Kavya Krishnan,Mahindra,Seltos,1.4,Diesel,2013,71904,18080,Indiranagar
Aishwarya Verma,Hyundai,Harrier,1.4,Diesel,2006,159969,5504,Indiranagar
Ananya Gupta,Honda,City,1.2,Petrol,2013,75588,11861,HSR Layout
Meera Dutta,Maruti,Harrier,1.4,Diesel,2018,18334,33119,Whitefield
Priya Gupta,Tata,Swift,1.2,Petrol,1995,175506,1460,Jayanagar
Suresh Sharma,Kia,Seltos,1.8,Hybrid,1985,235671,949,Hebbal
Divya Deshmukh,Kia,Nexon,1,Petrol,1996,144412,1846,Malleswaram
Divya Nair,Toyota,Innova,4.4,Petrol,2008,79613,39453,Yelahanka
Ajay Pillai,Mahindra,Harrier,4.4,Petrol,2004,108396,24571,Basavanagudi
Aishwarya Gupta,Mahindra,Swift,3,Petrol,2013,68093,39031,Whitefield
Manoj Sharma,Hyundai,i20,1.6,Hybrid,2019,30152,40482,Hebbal
Sneha Iyer,Maruti,Baleno,3,Petrol,2015,44761,77091,HSR Layout
Ravi Rao,Tata,Harrier,1,Petrol,2012,52525,11780,Koramangala
Suresh Gupta,Kia,Thar,1,Petrol,2005,145747,3754,Whitefield
Aishwarya Krishnan,Maruti,Nexon,1.8,Diesel,2016,16626,33172,Hebbal
Ravi Nair,Maruti,Creta,1.4,Diesel,1998,155019,3364,Indiranagar
Priya Reddy,Mahindra,Harrier,1.4,Hybrid,1996,188308,2658,Malleswaram
Manoj Gupta,Mahindra,Creta,2,Petrol,2001,72923,8773,Indiranagar
Aishwarya Reddy,Toyota,Thar,1.4,Diesel,2007,104718,7710,Whitefield
Ajay Krishnan,Mahindra,Nexon,2,Petrol,1992,258967,731,Malleswaram
Aishwarya Nair,Honda,Baleno,1.2,Hybrid,2000,168963,3069,Jayanagar
Sanjay Rao,Maruti,i20,2,Diesel,1993,90439,4786,Basavanagudi
Priya Patel,Honda,Innova,1.4,Hybrid,1991,213652,1523,Whitefield
Meera Pillai,Tata,Seltos,2.2,Hybrid,2012,100268,23140,Jayanagar
Vivek Deshmukh,Honda,Swift,2,Petrol,2019,26479,32650,HSR Layout
Meera Kumar,Honda,Nexon,1.4,Diesel,2009,109384,10605,Koramangala
Meera Menon,Hyundai,Seltos,2,Petrol,2014,39083,25884,Basavanagudi
Kiran Verma,Toyota,Innova,2,Petrol,2002,73945,9749,Indiranagar
Ajay Mishra,Mahindra,Swift,1.4,Petrol,2008,114007,6011,Whitefield
Pooja Kumar,Mahindra,Innova,1.8,Hybrid,2003,125903,8052,Koramangala
Pooja Pillai,Maruti,Innova,1.4,Petrol,1998,126188,2884,Malleswaram
Ravi Pillai,Maruti,i20,3,Petrol,1990,178957,5344,Whitefield
Priya Iyer,Mahindra,City,1.6,Diesel,1996,118258,4217,Hebbal
Aishwarya Choudhary,Maruti,Swift,1.4,Hybrid,2004,100476,7076,Jayanagar
Ravi Sharma,Kia,Creta,1,Petrol,1985,288486,347,Basavanagudi
Aishwarya Reddy,Tata,Harrier,2,Diesel,1997,50121,8564,HSR Layout
Suresh Gupta,Honda,Nexon,2.6,Petrol,2003,130068,17702,Hebbal
Sanjay Menon,Tata,Swift,1.8,Petrol,1992,135772,2412,Indiranagar
Vivek Sharma,Tata,Harrier,1.8,Petrol,2010,70562,12942,Hebbal
Suresh Singh,Honda,Harrier,2,Diesel,2003,139651,6417,Basavanagudi
Meera Singh,Mahindra,City,1.6,Petrol,2004,106068,7575,Hebbal
Pooja Choudhary,Tata,Thar,2,Petrol,2019,18978,54090,Yelahanka
Suresh Krishnan,Honda,Seltos,1.6,Diesel,2000,85142,5015,Whitefield
Sanjay Deshmukh,Honda,Baleno,1.6,Diesel,2012,64490,17978,Indiranagar
Sanjay Rao,Honda,Swift,1,Petrol,1993,121417,2045,Koramangala
Meera Sharma,Hyundai,Innova,1,Petrol,2018,19640,26712,Basavanagudi
Kiran Pillai,Honda,i20,2.2,Hybrid,2009,99740,19019,Rajajinagar
Deepak Patel,Hyundai,i20,1.4,Petrol,2004,159279,3718,Indiranagar
Sneha Patel,Toyota,i20,1.4,Petrol,1996,86718,4782,Hebbal
Ajay Iyer,Hyundai,Thar,4,Petrol,1993,150186,5438,HSR Layout
Ananya Bhatia,Mahindra,Thar,4.4,Petrol,2019,20736,118474,Rajajinagar
Pooja Krishnan,Honda,Creta,1.4,Petrol,1986,70039,1948,Whitefield
Meera Reddy,Honda,Thar,3,Diesel,2017,30285,49606,Malleswaram
Deepak Bhatia,Toyota,i20,1.2,Petrol,2016,38795,18326,Hebbal
Shalini Patel,Tata,Harrier,2.4,Hybrid,1995,203197,3359,Koramangala
Neha Singh,Tata,i20,2.4,Petrol,2011,80839,21637,Jayanagar
Neha Patel,Mahindra,Seltos,1.4,Petrol,2002,174535,3010,Basavanagudi
Aishwarya Verma,Maruti,Swift,1.6,Petrol,1993,131899,3125,Whitefield
Arjun Sharma,Mahindra,City,1,Petrol,2021,14063,33627,Jayanagar
Manoj Choudhary,Mahindra,Nexon,2.4,Petrol,1996,149048,4294,Koramangala
Manoj Nair,Hyundai,Nexon,1,Petrol,1990,145249,1229,Malleswaram
Sneha Menon,Toyota,Thar,1,Hybrid,2007,61357,12446,Hebbal
Kavya Krishnan,Tata,Nexon,1.2,Hybrid,1997,13000,7167,Indiranagar
Neha Menon,Kia,Seltos,1.4,Petrol,1986,263206,384,Whitefield
Rohit Deshmukh,Maruti,Seltos,1.4,Petrol,2010,52847,12174,Whitefield
Ravi Verma,Toyota,Creta,1.6,Diesel,2009,100782,12083,HSR Layout
Shalini Reddy,Maruti,Nexon,1,Petrol,1999,193458,1491,Basavanagudi
Arjun Nair,Honda,Creta,1.2,Petrol,1997,174912,1892,Basavanagudi
Meera Joshi,Tata,Thar,2,Hybrid,1998,169431,4074,Rajajinagar
Suresh Bhatia,Kia,Thar,1,Hybrid,1993,269373,882,Whitefield
Suresh Bhatia,Kia,Baleno,2,Diesel,2009,129764,11999,Malleswaram
Rohit Rao,Hyundai,Swift,1,Hybrid,1998,104481,5060,HSR Layout
Ananya Sharma,Toyota,i20,2,Diesel,2008,105468,11556,Basavanagudi
Kavya Iyer,Mahindra,Creta,4,Petrol,2000,153596,12574,Rajajinagar
Manoj Reddy,Honda,Creta,1.4,Petrol,1993,84644,2739,Basavanagudi
Shalini Reddy,Honda,Baleno,1.6,Petrol,2001,205054,2309,Hebbal
Meera Rao,Tata,Swift,1,Petrol,1993,159497,1335,Yelahanka
Vivek Sharma,Kia,Nexon,1.8,Petrol,2002,166994,4332,Yelahanka
Divya Menon,Mahindra,Swift,1.4,Petrol,1997,143465,2352,Yelahanka
Aishwarya Kumar,Tata,Baleno,1.6,Diesel,2015,59927,22621,Jayanagar
Vivek Mehta,Tata,Thar,4,Petrol,2005,132662,13935,Koramangala
